"Superkingdom"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"92"	"Archaea"	"Archaea"	"CandidatusMicrarchaeota"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeotaarchaeonCG_4_10_14_0_2_um_filter_49_7"
"93"	"Archaea"	"Archaea"	"CandidatusMicrarchaeota"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeotaarchaeonCG_4_10_14_0_2_um_filter_55_9"
"94"	"Archaea"	"Archaea"	"CandidatusMicrarchaeota"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeotaarchaeonCG_4_10_14_0_2_um_filter_60_11"
"95"	"Archaea"	"Archaea"	"CandidatusMicrarchaeota"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeotaarchaeonCG_4_10_14_0_8_um_filter_60_7"
"96"	"Archaea"	"Archaea"	"CandidatusMicrarchaeota"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeotaarchaeonCG06_land_8_20_14_3_00_50_6"
"97"	"Archaea"	"Archaea"	"CandidatusMicrarchaeota"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeotaarchaeonCG08_land_8_20_14_0_20_49_17"
"98"	"Archaea"	"Archaea"	"CandidatusMicrarchaeota"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeotaarchaeonCG08_land_8_20_14_0_20_59_11"
"99"	"Archaea"	"Archaea"	"CandidatusMicrarchaeota"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeotaarchaeonCG09_land_8_20_14_0_10_55_25"
"100"	"Archaea"	"Archaea"	"CandidatusMicrarchaeota"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeotaarchaeonCG09_land_8_20_14_0_10_60_16"
"101"	"Archaea"	"Archaea"	"CandidatusMicrarchaeota"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeotaarchaeonCG1_02_47_40"
